size,n,min,mean,p50,p99,p99_9,max,stdev
8,200,650.1669995486736,882.2612209769432,791.0835120128468,2628.302406228611,3021.0129961196826,3056.832996662706,350.2743429676283
16,200,827.2080158349127,886.0652045405004,884.6040145726874,939.938420196995,967.2961270553063,971.500005107373,20.02272875777088
32,200,874.4579972699285,946.1381053552032,944.3544986424968,1034.421594813466,1067.7159865444999,1075.8749849628657,30.135006596102258
64,200,945.8329877816141,1021.21997915674,1014.6245185751468,1158.197826880496,1161.8171098816674,1161.958003649488,30.69685570559706
128,200,1070.7089968491346,1188.6218895961065,1158.33300515078,1491.671763942576,2619.439216912745,2875.9169799741358,137.32335385521694
256,200,1487.3330073896796,1574.5668632735033,1565.7704934710637,1712.3316685319876,1734.3939956917893,1734.7919929306954,39.38449820063976
512,200,2288.6249935254455,2399.5934895356186,2361.020990065299,2716.320513864047,2877.514882100514,2887.1249814983457,92.25510742166674
768,200,3075.9590154048055,3188.890630408423,3160.9794968971983,3490.280236583203,3700.8129831228907,3748.29099746421,86.67846282709479
1024,200,3876.583999954164,10344.959210051456,3978.5414992365986,4468.232615909069,1019071.697869184,1271021.7919957358,89591.34220804495
1280,200,4669.99999480322,4828.626888192957,4770.083512994461,6695.725811587179,9352.653916867035,9970.29201244004,431.40547158440705
1400,200,5078.874994069338,5277.352953562513,5254.583491478115,5879.739333176983,6261.9301052182,6281.291018240154,139.06644637833264
